iter	Passed	Remaining
333	834	1664
334	836	1660
335	838	1656
336	840	1653
337	842	1650
338	844	1646
339	847	1644
340	849	1642
341	852	1639
342	854	1635
343	855	1632
344	857	1628
345	859	1624
346	862	1623
347	864	1619
348	866	1615
349	868	1612
350	869	1608
351	871	1605
352	873	1601
353	876	1599
354	878	1595
355	880	1592
356	881	1588
357	883	1584
358	885	1580
359	887	1576
360	888	1573
361	891	1571
362	893	1567
363	895	1564
364	897	1560
365	899	1557
366	900	1553
367	902	1550
368	906	1549
369	908	1546
370	910	1543
371	912	1539
372	913	1536
373	915	1533
374	918	1530
375	920	1527
376	922	1524
377	924	1522
378	927	1519
379	929	1516
380	931	1513
381	935	1513
382	937	1510
383	940	1508
384	942	1505
385	944	1502
386	947	1500
387	949	1498
388	951	1494
389	953	1491
390	955	1488
391	957	1485
392	960	1483
393	962	1480
394	965	1478
395	966	1474
396	969	1471
397	971	1468
398	973	1465
399	975	1462
400	978	1462
401	981	1460
402	983	1457
403	986	1454
404	988	1452
405	992	1451
406	994	1449
407	996	1446
408	998	1443
409	1000	1440
410	1002	1437
411	1005	1434
412	1008	1432
413	1010	1429
414	1011	1426
415	1013	1423
416	1016	1421
417	1019	1419
418	1022	1417
419	1024	1414
420	1026	1411
421	1031	1413
422	1034	1411
423	1038	1411
424	1041	1408
425	1043	1406
426	1045	1403
427	1047	1400
428	1051	1400
429	1054	1397
430	1056	1394
431	1058	1391
432	1060	1388
433	1062	1385
434	1071	1391
435	1073	1388
436	1075	1385
437	1077	1382
438	1082	1383
439	1085	1381
440	1089	1380
441	1094	1382
442	1098	1380
443	1100	1378
444	1103	1375
445	1105	1373
446	1110	1373
447	1112	1370
448	1114	1367
